행정구역,2021년01월_계_총인구수,2021년01월_계_연령구간인구수,2021년01월_계_0~9세,2021년01월_계_10~19세,2021년01월_계_20~29세,2021년01월_계_30~39세,2021년01월_계_40~49세,2021년01월_계_50~59세,2021년01월_계_60~69세,2021년01월_계_70~79세,2021년01월_계_80~89세,2021년01월_계_90~99세,2021년01월_계_100세 이상
부산광역시 북구 만덕제1동(2632057100),"12,851","12,851",972,784,"1,471","2,040","1,624","2,189","2,301","1,080",339,46,5
부산광역시 북구 만덕제2동(2632057200),"27,177","27,177","2,294","2,379","3,261","3,384","4,222","4,571","4,442","1,920",602,95,7
부산광역시 북구 만덕제3동(2632057300),"19,168","19,168","1,278","1,348","2,440","2,386","2,545","3,453","3,685","1,484",471,75,3
부산광역시 해운대구 (2635000000),"401,710","401,710","28,346","38,114","48,891","46,693","65,575","70,207","58,125","30,799","13,061","1,736",163
부산광역시 해운대구 우제1동(2635051000),"22,935","22,935","1,283","1,582","3,058","2,945","3,458","3,848","3,664","2,155",803,113,26
부산광역시 해운대구 우제2동(2635052000),"31,265","31,265","2,894","3,189","3,496","3,862","5,336","5,405","3,936","2,084",902,153,8
부산광역시 해운대구 우제3동(2635052500),"28,751","28,751","2,886","3,140","2,888","3,477","4,992","4,822","3,787","1,859",782,114,4
부산광역시 해운대구 중제1동(2635053000),"26,699","26,699","2,071","2,456","3,402","3,338","4,598","4,666","3,409","1,860",794,88,17
부산광역시 해운대구 중제2동(2635054000),"15,899","15,899","1,234","1,176","1,697","2,230","2,738","2,759","2,454","1,128",410,66,7
부산광역시 해운대구 좌제1동(2635055100),"18,263","18,263","1,249","2,048","2,827","2,094","3,233","3,181","1,845","1,073",632,79,2
부산광역시 해운대구 좌제2동(2635055200),"32,221","32,221","2,066","2,914","5,081","4,476","4,994","5,718","3,838","1,962","1,044",126,2
부산광역시 해운대구 좌제3동(2635055300),"16,302","16,302","1,088","1,830","1,970","1,643","2,525","2,991","2,244","1,199",715,97,0
부산광역시 해운대구 좌제4동(2635055400),"23,417","23,417","1,758","3,007","3,007","2,400","4,057","4,315","2,680","1,362",736,95,0
부산광역시 해운대구 송정동(2635056000),"10,006","10,006",511,505,"1,188","1,294","1,313","1,749","1,929",982,464,67,4
부산광역시 해운대구 반여제1동(2635057000),"35,187","35,187","2,602","4,221","4,216","3,696","6,246","6,288","4,681","2,220",876,137,4
부산광역시 해운대구 반여제2동(2635058000),"13,224","13,224",499,673,"1,468","1,577","1,757","2,436","2,578","1,563",601,57,15
부산광역시 해운대구 반여제3동(2635059000),"8,965","8,965",246,528,973,811,"1,160","1,733","1,883","1,105",469,51,6
부산광역시 해운대구 반여제4동(2635059500),"16,452","16,452","1,269","1,574","2,131","2,014","2,617","2,998","2,462","1,021",321,43,2
부산광역시 해운대구 반송제1동(2635061000),"14,307","14,307",374,775,"1,625","1,164","1,741","2,763","2,826","2,060",849,103,27
부산광역시 해운대구 반송제2동(2635062000),"24,118","24,118",940,"1,517","2,449","2,011","3,177","4,263","5,122","3,163","1,280",173,23
부산광역시 해운대구 재송제1동(2635065000),"38,340","38,340","4,073","4,937","4,176","4,800","7,778","5,525","4,278","2,020",657,88,8
부산광역시 해운대구 재송제2동(2635066000),"25,359","25,359","1,303","2,042","3,239","2,861","3,855","4,747","4,509","1,983",726,86,8
부산광역시 사하구 (2638000000),"311,052","311,052","19,741","25,269","39,673","36,717","45,850","54,678","51,535","26,316","9,742","1,369",162
부산광역시 사하구 괴정제1동(2638051000),"20,134","20,134","1,095","1,600","2,374","2,268","2,760","3,454","3,510","2,040",870,134,29
부산광역시 사하구 괴정제2동(2638052000),"14,312","14,312",897,"1,120","1,541","1,519","2,192","2,320","2,597","1,536",511,70,9
부산광역시 사하구 괴정제3동(2638053000),"12,935","12,935",543,759,"1,457","1,536","1,661","2,210","2,608","1,511",567,71,12
부산광역시 사하구 괴정제4동(2638054000),"11,319","11,319",536,792,"1,413","1,148","1,581","1,930","2,172","1,239",444,57,7
부산광역시 사하구 당리동(2638055000),"27,138","27,138","1,663","2,322","3,473","3,061","3,888","4,822","4,666","2,318",815,101,9
부산광역시 사하구 하단제1동(2638056100),"21,762","21,762","1,223","1,697","3,620","2,860","2,992","3,667","3,367","1,631",619,76,10
부산광역시 사하구 하단제2동(2638056200),"25,370","25,370","1,437","2,002","5,030","3,199","3,491","4,156","3,585","1,759",633,74,4
부산광역시 사하구 신평제1동(2638057100),"17,627","17,627","1,111","1,180","1,955","2,184","2,624","3,199","3,082","1,622",557,90,23
부산광역시 사하구 신평제2동(2638057200),"16,015","16,015","1,102","1,344","2,140","2,218","2,416","2,935","2,462",979,360,57,2
부산광역시 사하구 장림제1동(2638058000),"11,139","11,139",965,977,"1,068","1,513","2,012","1,773","1,646",877,282,24,2
부산광역시 사하구 장림제2동(2638059000),"28,031","28,031","1,983","2,467","3,552","3,706","4,460","4,918","4,360","1,945",560,77,3
부산광역시 사하구 다대제1동(2638060100),"39,766","39,766","3,079","3,988","4,557","4,370","6,537","7,151","5,852","2,882","1,168",172,10
부산광역시 사하구 다대제2동(2638060200),"28,066","28,066","1,731","2,479","3,371","2,745","4,047","5,403","4,873","2,264",988,157,8
부산광역시 사하구 구평동(2638061000),"11,666","11,666","1,292",836,"1,319","2,059","1,795","1,828","1,603",678,208,42,6
부산광역시 사하구 감천제1동(2638062000),"19,384","19,384",944,"1,455","2,246","1,871","2,634","3,688","3,787","1,967",683,97,12
부산광역시 사하구 감천제2동(2638063000),"6,388","6,388",140,251,557,460,760,"1,224","1,365","1,068",477,70,16
부산광역시 금정구 (2641000000),"231,959","231,959","12,934","17,617","33,036","25,055","32,059","40,419","38,921","21,689","8,812","1,216",201
부산광역시 금정구 서제1동(2641051000),"5,836","5,836",108,274,557,475,748,"1,145","1,339",809,335,34,12
부산광역시 금정구 서제2동(2641052000),"9,741","9,741",334,482,"1,147",944,"1,179","1,957","2,179","1,075",381,49,14
부산광역시 금정구 서제3동(2641053000),"11,465","11,465",345,560,"1,249","1,104","1,351","2,319","2,450","1,460",560,57,10
부산광역시 금정구 금사회동동(2641055500),"8,208","8,208",267,359,839,817,983,"1,599","1,906","1,054",334,46,4
부산광역시 금정구 부곡제1동(2641057000),"8,564","8,564",300,459,896,804,"1,117","1,464","1,786","1,220",464,51,3
부산광역시 금정구 부곡제2동(2641058000),"16,836","16,836",872,"1,430","2,517","1,804","2,404","2,978","2,682","1,428",628,86,7
부산광역시 금정구 부곡제3동(2641059000),"16,132","16,132","1,164","1,330","2,272","1,986","2,265","2,809","2,453","1,175",587,86,5
부산광역시 금정구 부곡제4동(2641059100),"13,190","13,190",526,830,"1,566","1,448","1,774","2,285","2,664","1,526",504,64,3
부산광역시 금정구 장전제1동(2641060000),"17,771","17,771",909,"1,168","5,544","1,965","2,210","2,268","1,987","1,151",501,57,11
부산광역시 금정구 장전제2동(2641061000),"27,301","27,301","2,642","2,459","3,419","3,744","4,715","3,775","3,370","2,039",865,174,99
부산광역시 금정구 선두구동(2641063500),"2,423","2,423",77,110,214,210,238,499,540,350,164,18,3
부산광역시 금정구 청룡노포동(2641066500),"10,042","10,042",518,699,"1,099",945,"1,248","1,789","1,950","1,208",511,71,4
부산광역시 금정구 남산동(2641067000),"29,581","29,581","1,227","2,084","4,566","3,038","3,679","5,598","5,118","2,949","1,168",148,6
부산광역시 금정구 구서제1동(2641068000),"19,975","19,975","1,354","1,948","2,599","2,266","3,036","3,659","2,934","1,487",605,79,8
부산광역시 금정구 구서제2동(2641069000),"33,805","33,805","2,220","3,310","4,468","3,428","4,937","6,106","5,338","2,649","1,154",185,10
부산광역시 금정구 금성동(2641070000),"1,089","1,089",71,115,84,77,175,169,225,109,51,11,2
부산광역시 강서구 (2644000000),"138,610","138,610","20,089","11,869","12,317","27,338","23,930","16,967","15,982","6,907","2,705",459,47
부산광역시 강서구 대저1동(2644051000),"6,830","6,830",185,294,651,596,716,"1,273","1,652","1,009",391,60,3
부산광역시 강서구 대저2동(2644052000),"7,102","7,102",495,460,828,868,890,"1,096","1,350",715,338,56,6
부산광역시 강서구 강동동(2644053000),"4,479","4,479",85,135,349,351,377,930,"1,301",615,266,55,15
부산광역시 강서구 명지1동(2644053500),"50,866","50,866","9,738","4,195","4,295","13,165","8,885","4,793","3,854","1,373",481,78,9
부산광역시 강서구 명지2동(2644054500),"30,322","30,322","5,116","4,204","2,454","4,962","6,679","3,324","2,417",840,281,44,1
부산광역시 강서구 가락동(2644055000),"2,453","2,453",52,70,198,198,206,479,627,408,176,36,3
부산광역시 강서구 녹산동(2644056000),"32,858","32,858","4,311","2,369","3,244","6,872","5,748","4,307","3,862","1,491",559,90,5
부산광역시 강서구 가덕도동(2644058000),"3,700","3,700",107,142,298,326,429,765,919,456,213,40,5
부산광역시 연제구 (2647000000),"208,900","208,900","14,599","16,422","26,013","27,051","31,827","34,143","32,688","18,206","7,014",846,91
부산광역시 연제구 거제제1동(2647061000),"29,668","29,668","2,590","3,564","3,230","3,115","5,552","4,774","3,627","2,221",887,104,4
부산광역시 연제구 거제제2동(2647062000),"12,563","12,563","1,085","1,558","1,329","1,283","2,345","1,972","1,666",916,364,35,10
부산광역시 연제구 거제제3동(2647063000),"10,188","10,188",473,693,"1,169","1,091","1,332","1,662","1,810","1,269",599,83,7
부산광역시 연제구 거제제4동(2647064000),"10,769","10,769",738,980,"1,241","1,159","1,638","1,883","1,784",915,371,58,2
부산광역시 연제구 연산제1동(2647065000),"16,438","16,438","1,224","1,246","1,852","2,139","2,494","2,656","2,788","1,470",514,47,8
부산광역시 연제구 연산제2동(2647066000),"20,943","20,943","1,974","1,299","2,531","3,665","3,042","3,117","2,888","1,684",649,86,8
부산광역시 연제구 연산제3동(2647067000),"7,413","7,413",221,380,803,728,954,"1,315","1,588","1,017",362,39,6
부산광역시 연제구 연산제4동(2647068000),"16,752","16,752",708,903,"2,386","2,021","2,277","2,813","3,181","1,734",647,78,4
부산광역시 연제구 연산제5동(2647069000),"16,526","16,526",770,682,"3,412","3,139","2,327","2,357","2,153","1,206",436,35,9
부산광역시 연제구 연산제6동(2647070000),"17,084","17,084","1,059","1,014","1,882","2,354","2,268","2,682","3,068","1,899",764,82,12
부산광역시 연제구 연산제8동(2647072000),"14,420","14,420","1,258","1,123","1,608","1,855","2,250","2,450","2,278","1,170",376,44,8
부산광역시 연제구 연산제9동(2647073000),"36,136","36,136","2,499","2,980","4,570","4,502","5,348","6,462","5,857","2,705","1,045",155,13
부산광역시 수영구 (2650000000),"176,742","176,742","10,278","11,813","24,298","23,809","25,425","27,651","28,658","17,053","6,821",876,60
부산광역시 수영구 남천제1동(2650066000),"14,054","14,054",724,"1,203","1,829","1,658","2,041","2,432","2,133","1,292",638,98,6
부산광역시 수영구 남천제2동(2650067000),"12,359","12,359",885,"1,167","1,397","1,252","1,965","2,184","1,938","1,071",411,79,10
부산광역시 수영구 수영동(2650073000),"14,926","14,926",600,664,"1,826","1,765","1,889","2,335","2,987","1,966",798,92,4
부산광역시 수영구 망미제1동(2650074000),"27,851","27,851","1,702","1,975","3,095","3,401","3,757","4,380","5,126","2,979","1,250",178,8
부산광역시 수영구 망미제2동(2650075000),"11,460","11,460",692,832,"1,236","1,428","1,707","1,872","1,996","1,230",411,52,4
부산광역시 수영구 광안제1동(2650076000),"26,018","26,018","1,246","1,622","5,093","4,066","3,638","3,598","3,633","2,180",828,107,7
부산광역시 수영구 광안제2동(2650077000),"18,711","18,711","1,117","1,270","2,901","2,715","2,859","2,724","2,610","1,749",693,65,8
부산광역시 수영구 광안제3동(2650078000),"9,643","9,643",306,410,"1,841","1,463","1,220","1,361","1,614","1,005",379,40,4
부산광역시 수영구 광안제4동(2650079000),"13,183","13,183",799,857,"1,750","1,940","1,999","2,065","2,010","1,159",542,57,5
부산광역시 수영구 민락동(2650080000),"28,537","28,537","2,207","1,813","3,330","4,121","4,350","4,700","4,611","2,422",871,108,4
부산광역시 사상구 (2653000000),"212,173","212,173","12,249","15,012","28,755","25,081","29,277","40,984","36,944","17,231","5,893",677,70
부산광역시 사상구 삼락동(2653058000),"5,995","5,995",231,296,649,592,720,"1,307","1,263",683,224,25,5
부산광역시 사상구 모라제1동(2653059100),"28,194","28,194","1,581","2,011","3,613","3,258","3,763","5,551","5,199","2,346",771,85,16
부산광역시 사상구 모라제3동(2653059300),"10,986","10,986",280,476,879,820,"1,266","2,207","2,532","1,701",746,75,4
부산광역시 사상구 덕포제1동(2653060000),"8,881","8,881",506,655,"1,054","1,007","1,220","1,797","1,510",818,286,24,4
부산광역시 사상구 덕포제2동(2653061000),"13,156","13,156",708,930,"1,723","1,453","1,734","2,707","2,484","1,042",328,45,2
부산광역시 사상구 괘법동(2653062000),"22,082","22,082","1,071","1,070","4,028","3,224","2,730","4,240","3,656","1,559",442,48,14
부산광역시 사상구 감전동(2653064500),"13,807","13,807",527,705,"1,702","1,620","1,795","2,835","2,757","1,378",423,57,8
부산광역시 사상구 주례제1동(2653065000),"15,505","15,505",961,"1,104","2,143","1,811","2,003","3,146","2,757","1,152",375,51,2
부산광역시 사상구 주례제2동(2653066000),"23,338","23,338","1,457","1,810","4,060","3,001","3,427","3,938","3,331","1,638",600,69,7
부산광역시 사상구 주례제3동(2653066100),"13,390","13,390",749,"1,069","1,796","1,511","1,806","2,467","2,389","1,109",446,48,0
부산광역시 사상구 학장동(2653067000),"28,952","28,952","1,895","2,275","3,459","3,456","4,317","5,371","5,098","2,238",750,87,6
부산광역시 사상구 엄궁동(2653068000),"27,887","27,887","2,283","2,611","3,649","3,328","4,496","5,418","3,968","1,567",502,63,2
부산광역시 기장군 (2671000000),"175,428","175,428","19,121","17,561","17,093","24,958","32,391","24,239","21,648","12,424","5,200",749,44
부산광역시 기장군 기장읍(2671025000),"53,060","53,060","3,168","4,434","6,330","5,587","8,256","9,399","8,272","5,014","2,266",314,20
부산광역시 기장군 장안읍(2671025300),"8,663","8,663",402,421,"1,036","1,040",951,"1,564","1,667",968,513,90,11
부산광역시 기장군 정관읍(2671025600),"81,877","81,877","12,160","10,627","6,643","13,244","18,516","8,407","6,928","3,839","1,324",184,5
부산광역시 기장군 일광면(2671031000),"23,776","23,776","3,003","1,645","2,354","4,405","3,668","3,446","3,004","1,520",627,98,6
부산광역시 기장군 철마면(2671033000),"8,052","8,052",388,434,730,682,"1,000","1,423","1,777","1,083",470,63,2
대구광역시  (2700000000),"2,415,813","2,415,813","176,889","225,070","320,703","293,117","382,725","424,889","328,155","175,695","78,265","9,561",744
대구광역시 중구 (2711000000),"76,382","76,382","5,085","5,054","11,860","10,744","10,728","11,272","10,244","7,359","3,439",493,104
대구광역시 중구 동인동(2711051700),"8,462","8,462",314,479,"1,425","1,155","1,104","1,304","1,237",929,434,69,12
대구광역시 중구 삼덕동(2711054500),"6,733","6,733",439,373,"1,886","1,248",889,707,603,361,189,30,8
대구광역시 중구 성내1동(2711056500),"5,083","5,083",167,228,"1,478",761,560,615,595,434,192,46,7
대구광역시 중구 성내2동(2711057500),"4,564","4,564",135,191,808,536,497,759,783,565,231,45,14
대구광역시 중구 성내3동(2711058500),"5,144","5,144",591,224,623,"1,023",699,718,656,409,171,25,5
대구광역시 중구 대신동(2711059500),"8,118","8,118",875,558,821,"1,394","1,176","1,211","1,087",660,285,39,12
대구광역시 중구 남산1동(2711064000),"5,094","5,094",266,314,877,645,668,791,713,538,263,17,2
대구광역시 중구 남산2동(2711065000),"4,327","4,327",261,274,648,633,596,672,535,447,212,34,15
대구광역시 중구 남산3동(2711066000),"7,036","7,036",567,539,708,922,"1,143","1,085",983,725,326,33,5
대구광역시 중구 남산4동(2711067000),"11,830","11,830",873,"1,062","1,330","1,352","1,871","1,814","1,710","1,168",569,71,10
대구광역시 중구 대봉1동(2711068000),"7,636","7,636",521,662,"1,003",875,"1,176","1,215",961,742,414,59,8
대구광역시 중구 대봉2동(2711069000),"2,355","2,355",76,150,253,200,349,381,381,381,153,25,6
대구광역시 동구 (2714000000),"341,498","341,498","24,944","26,475","41,576","43,647","51,254","56,873","51,730","30,248","13,119","1,505",127
대구광역시 동구 신암1동(2714051000),"7,669","7,669",280,434,882,681,957,"1,347","1,434","1,057",532,60,5
대구광역시 동구 신암2동(2714052000),"10,662","10,662","1,016",834,"1,014","1,423","1,851","1,542","1,429","1,029",457,56,11
대구광역시 동구 신암3동(2714053000),"9,890","9,890",909,646,"1,109","1,568","1,362","1,540","1,446",878,385,45,2
대구광역시 동구 신암4동(2714054000),"12,890","12,890",405,694,"1,865","1,482","1,699","2,546","2,302","1,319",505,64,9
대구광역시 동구 신암5동(2714054100),"6,533","6,533",215,399,791,565,853,"1,225","1,274",813,365,29,4
대구광역시 동구 신천1.2동(2714055500),"13,214","13,214",764,901,"1,541","1,532","1,914","2,202","2,137","1,457",687,72,7
대구광역시 동구 신천3동(2714057000),"12,425","12,425",905,"1,029","1,625","1,517","1,946","2,183","1,692",968,493,58,9
대구광역시 동구 신천4동(2714058000),"7,505","7,505",159,354,"1,297","1,057",984,"1,291","1,247",743,334,34,5
대구광역시 동구 효목1동(2714059000),"14,190","14,190",540,832,"1,848","1,405","1,722","2,599","2,660","1,745",754,74,11
대구광역시 동구 효목2동(2714060000),"13,967","13,967",688,971,"1,772","1,557","1,977","2,350","2,464","1,453",640,83,12
대구광역시 동구 도평동(2714061500),"4,183","4,183",183,255,612,457,496,735,732,468,222,23,0
대구광역시 동구 불로.봉무동(2714062000),"21,739","21,739","2,266","2,300","2,267","2,839","3,991","3,302","2,739","1,400",551,80,4
대구광역시 동구 지저동(2714064000),"14,899","14,899",670,925,"1,979","1,549","1,819","2,944","2,842","1,503",604,60,4
대구광역시 동구 동촌동(2714065500),"15,896","15,896",840,937,"2,157","1,918","2,038","2,961","2,749","1,560",664,70,2
대구광역시 동구 방촌동(2714067000),"18,250","18,250",873,"1,265","2,380","1,758","2,274","3,526","3,315","1,892",877,85,5
대구광역시 동구 해안동(2714068500),"15,186","15,186",743,921,"1,861","1,599","1,940","2,792","2,809","1,717",720,81,3
대구광역시 동구 안심1동(2714072000),"43,395","43,395","3,753","3,726","5,271","5,667","6,824","7,021","6,289","3,214","1,437",186,7
대구광역시 동구 안심2동(2714073000),"11,346","11,346",636,667,"1,424","1,401","1,453","2,212","1,955","1,116",422,55,5
대구광역시 동구 안심3동(2714074200),"21,305","21,305","2,453","2,681","2,162","3,100","4,235","2,844","1,978","1,281",511,58,2
대구광역시 동구 안심4동(2714074700),"29,459","29,459","2,538","2,957","3,872","4,126","4,940","4,672","3,630","1,904",740,71,9
대구광역시 동구 혁신동(2714075500),"18,908","18,908","3,070","1,483","1,996","4,630","3,526","1,738","1,513",684,231,35,2
대구광역시 동구 공산동(2714076000),"17,987","17,987","1,038","1,264","1,851","1,816","2,453","3,301","3,094","2,047",988,126,9
대구광역시 서구 (2717000000),"170,383","170,383","7,497","10,785","21,606","17,366","22,717","34,135","31,247","17,218","6,955",754,103
대구광역시 서구 내당1동(2717051000),"8,651","8,651",329,496,"1,319",957,"1,071","1,678","1,554",849,358,31,9
대구광역시 서구 내당2.3동(2717052500),"10,130","10,130",320,533,"1,285",939,"1,293","1,981","1,963","1,239",527,43,7
대구광역시 서구 내당4동(2717054000),"16,929","16,929",709,"1,226","2,437","1,963","2,251","3,100","2,963","1,570",632,76,2
대구광역시 서구 비산1동(2717055000),"9,793","9,793",304,625,"1,165",851,"1,320","2,106","1,827","1,109",429,49,8
대구광역시 서구 비산2.3동(2717056500),"9,657","9,657",288,482,"1,043",793,"1,130","1,921","1,935","1,380",603,62,20
대구광역시 서구 비산4동(2717058000),"10,008","10,008",386,599,"1,287",951,"1,289","2,025","1,932","1,052",435,41,11
대구광역시 서구 비산5동(2717059000),"6,384","6,384",193,343,663,608,773,"1,309","1,285",832,345,32,1
대구광역시 서구 비산6동(2717060000),"7,844","7,844",224,499,"1,016",696,"1,017","1,664","1,513",829,349,30,7
대구광역시 서구 비산7동(2717061000),"11,052","11,052",410,577,"1,325","1,059","1,432","2,422","2,127","1,224",436,36,4
대구광역시 서구 평리1동(2717062000),"7,964","7,964",298,463,"1,040",742,"1,037","1,636","1,493",827,382,40,6
대구광역시 서구 평리2동(2717063000),"8,154","8,154",607,588,925,963,"1,225","1,465","1,377",714,264,25,1
대구광역시 서구 평리3동(2717064000),"10,081","10,081",362,586,"1,287",982,"1,321","2,199","1,886","1,019",395,41,3
대구광역시 서구 평리4동(2717065000),"18,314","18,314","1,312","1,238","2,320","2,285","2,615","3,518","2,979","1,421",534,88,4
대구광역시 서구 평리5동(2717066000),"1,807","1,807",72,106,218,181,242,371,347,196,63,5,6
대구광역시 서구 평리6동(2717066100),"5,228","5,228",149,323,637,475,648,"1,153","1,101",504,214,24,0
대구광역시 서구 상중이동(2717067500),"20,501","20,501","1,264","1,686","2,655","2,197","2,993","3,983","3,498","1,535",583,93,14
대구광역시 서구 원대동(2717069500),"7,886","7,886",270,415,984,724,"1,060","1,604","1,467",918,406,38,0
대구광역시 남구 (2720000000),"146,428","146,428","6,760","9,358","20,412","17,114","20,276","24,919","24,117","15,143","7,279",961,89
대구광역시 남구 이천동(2720051500),"12,353","12,353",780,"1,044","1,215","1,295","1,993","1,975","1,762","1,389",762,129,9
대구광역시 남구 봉덕1동(2720053000),"9,251","9,251",371,523,"1,139","1,138","1,336","1,631","1,531",954,562,60,6
대구광역시 남구 봉덕2동(2720054000),"12,179","12,179",843,985,"1,266","1,376","1,703","2,038","2,000","1,198",665,98,7
대구광역시 남구 봉덕3동(2720055000),"17,240","17,240",850,"1,336","2,121","1,878","2,535","2,954","2,839","1,705",894,115,13
대구광역시 남구 대명1동(2720056000),"11,587","11,587",506,744,"1,789","1,393","1,587","2,040","1,887","1,099",464,75,3
대구광역시 남구 대명2동(2720057100),"10,726","10,726",380,628,"2,005","1,327","1,383","1,675","1,618","1,112",528,63,7
대구광역시 남구 대명3동(2720058600),"11,044","11,044",373,612,"1,503","1,159","1,484","2,006","1,982","1,302",546,66,11
대구광역시 남구 대명4동(2720059000),"11,247","11,247",473,620,"1,667","1,218","1,381","2,023","2,091","1,213",497,56,8
대구광역시 남구 대명5동(2720060000),"7,293","7,293",257,395,"1,414",859,877,"1,173","1,139",757,374,43,5
대구광역시 남구 대명6동(2720061000),"9,635","9,635",540,629,"1,424","1,282","1,419","1,571","1,427",869,413,56,5
대구광역시 남구 대명9동(2720064000),"16,059","16,059",763,908,"2,486","2,161","2,331","2,705","2,429","1,529",636,101,10
대구광역시 남구 대명10동(2720065000),"9,305","9,305",328,486,"1,353","1,123","1,205","1,601","1,681",997,478,51,2
대구광역시 남구 대명11동(2720066000),"8,509","8,509",296,448,"1,030",905,"1,042","1,527","1,731","1,019",460,48,3
대구광역시 북구 (2723000000),"439,906","439,906","33,711","43,117","62,073","53,822","72,340","78,296","54,352","28,364","12,307","1,427",97
대구광역시 북구 고성동(2723051000),"4,960","4,960",345,357,567,676,711,792,782,499,196,30,5
대구광역시 북구 칠성동(2723052600),"23,516","23,516","2,358","2,056","2,872","3,679","4,055","3,264","2,679","1,622",798,121,12
대구광역시 북구 침산1동(2723055000),"4,240","4,240",173,209,483,464,483,911,891,426,170,29,1
대구광역시 북구 침산2동(2723056000),"19,373","19,373","2,224","2,267","2,156","2,773","3,708","2,820","1,888","1,032",450,50,5
대구광역시 북구 침산3동(2723057000),"20,318","20,318","1,713","2,269","2,419","2,351","3,482","3,497","2,389","1,481",648,63,6
대구광역시 북구 산격1동(2723061000),"9,568","9,568",255,467,"1,025",754,"1,139","1,933","2,013","1,329",602,45,6
대구광역시 북구 산격2동(2723062000),"11,106","11,106",608,904,"1,649","1,177","1,471","2,267","1,726",884,376,43,1
대구광역시 북구 산격3동(2723063000),"9,144","9,144",288,439,"2,568","1,157","1,039","1,283","1,226",763,339,39,3
대구광역시 북구 산격4동(2723063100),"8,637","8,637",305,484,"1,279","1,044","1,029","1,578","1,580",921,376,41,0
대구광역시 북구 대현동(2723064500),"18,483","18,483","1,187","1,170","2,899","2,152","2,672","2,961","2,731","1,762",823,109,17
대구광역시 북구 복현1동(2723067100),"7,668","7,668",179,350,"2,349","1,036",820,"1,213","1,016",489,192,23,1
대구광역시 북구 복현2동(2723067200),"28,849","28,849","2,265","3,022","4,140","3,602","4,681","5,106","3,677","1,565",680,106,5
대구광역시 북구 검단동(2723068000),"6,742","6,742",314,423,747,826,899,"1,233","1,267",705,303,24,1
대구광역시 북구 무태조야동(2723069500),"36,791","36,791","3,535","3,951","4,235","4,861","7,030","6,261","4,151","1,974",698,93,2
대구광역시 북구 관문동(2723071500),"37,340","37,340","4,526","3,155","3,948","6,404","6,469","5,919","4,254","1,896",680,84,5
대구광역시 북구 태전1동(2723072500),"22,316","22,316","1,359","1,753","3,774","2,654","3,155","4,214","3,105","1,505",712,83,2
대구광역시 북구 태전2동(2723073500),"25,060","25,060","1,619","2,489","3,727","2,762","4,002","4,748","3,333","1,666",629,83,2
대구광역시 북구 구암동(2723074500),"36,448","36,448","2,680","5,026","5,409","3,483","6,818","7,227","3,334","1,630",747,92,2
대구광역시 북구 관음동(2723075000),"17,098","17,098",942,"1,607","2,442","1,626","2,542","3,545","2,630","1,132",577,52,3
대구광역시 북구 읍내동(2723077000),"26,962","26,962","1,698","2,489","4,321","3,103","3,798","5,460","3,606","1,587",816,78,6
대구광역시 북구 동천동(2723078000),"29,078","29,078","2,324","4,450","4,176","2,854","6,036","5,455","1,997","1,141",607,36,2
대구광역시 북구 노원동(2723079000),"12,098","12,098",619,628,"1,376","1,573","1,619","2,404","2,201","1,260",369,41,8
대구광역시 북구 국우동(2723080000),"24,111","24,111","2,195","3,152","3,512","2,811","4,682","4,205","1,876","1,095",519,62,2
대구광역시 수성구 (2726000000),"424,112","424,112","29,668","51,341","55,312","42,710","72,704","75,094","52,419","28,883","14,013","1,867",101
대구광역시 수성구 범어1동(2726051000),"16,323","16,323","1,306","2,111","2,093","1,582","2,897","2,863","1,768","1,097",541,59,6
대구광역시 수성구 범어2동(2726052000),"16,006","16,006","1,120","1,813","2,343","2,075","2,706","2,661","1,831",976,434,45,2
대구광역시 수성구 범어3동(2726053000),"16,449","16,449","1,929","2,034","2,117","2,118","3,238","2,607","1,284",734,328,52,8
대구광역시 수성구 범어4동(2726054000),"19,466","19,466","1,594","4,390","1,880","1,343","4,822","2,809","1,372",843,362,48,3
대구광역시 수성구 만촌1동(2726055000),"23,207","23,207","1,805","2,530","2,951","2,371","3,676","4,099","3,024","1,767",876,105,3
대구광역시 수성구 만촌2동(2726056000),"11,493","11,493",531,"1,169","1,911","1,194","1,729","2,097","1,539",837,440,44,2
대구광역시 수성구 만촌3동(2726056100),"20,340","20,340","1,374","3,984","2,490","1,409","4,529","3,416","1,656","1,006",424,50,2
대구광역시 수성구 수성1가동(2726057000),"18,710","18,710","1,262","2,222","2,215","1,611","3,206","3,232","2,300","1,687",857,113,5
대구광역시 수성구 수성2.3가동(2726058000),"12,218","12,218","1,100","1,743","1,272","1,152","2,430","1,849","1,412",862,358,36,4
대구광역시 수성구 수성4가동(2726059000),"15,176","15,176",857,"1,446","2,120","1,478","2,206","2,922","2,163","1,235",655,87,7
대구광역시 수성구 황금1동(2726060100),"24,348","24,348","2,087","4,198","2,701","2,007","4,893","4,180","2,422","1,182",582,89,7
대구광역시 수성구 황금2동(2726060200),"11,118","11,118",535,868,"1,755","1,359","1,775","1,915","1,512",950,395,52,2
대구광역시 수성구 중동(2726061000),"11,293","11,293",733,738,"1,448","1,521","1,824","1,938","1,639",941,443,65,3
대구광역시 수성구 상동(2726062000),"16,980","16,980","1,040","1,346","2,103","2,081","2,488","2,902","2,685","1,525",694,111,5
대구광역시 수성구 파동(2726063000),"12,859","12,859",991,"1,003","1,230","1,514","1,942","2,028","2,168","1,333",549,93,8
