행정구역,2021년01월_계_총인구수,2021년01월_계_연령구간인구수,2021년01월_계_0~9세,2021년01월_계_10~19세,2021년01월_계_20~29세,2021년01월_계_30~39세,2021년01월_계_40~49세,2021년01월_계_50~59세,2021년01월_계_60~69세,2021년01월_계_70~79세,2021년01월_계_80~89세,2021년01월_계_90~99세,2021년01월_계_100세 이상
서울특별시 용산구 한남동(1117068500),"21,196","21,196","1,164","1,174","2,778","4,052","3,378","3,275","2,796","1,647",731,165,36
서울특별시 용산구 서빙고동(1117069000),"13,213","13,213",788,"1,479","1,809","1,513","2,460","2,233","1,435",800,604,86,6
서울특별시 용산구 보광동(1117070000),"14,199","14,199",454,797,"2,213","2,166","2,089","2,486","2,044","1,257",573,98,22
서울특별시 성동구 (1120000000),"293,103","293,103","20,297","19,679","44,823","48,730","44,943","47,248","36,697","20,627","8,617","1,189",253
서울특별시 성동구 왕십리제2동(1120052000),"17,077","17,077","1,212","1,209","2,496","2,921","2,650","2,762","2,101","1,191",448,67,20
서울특별시 성동구 왕십리도선동(1120053500),"26,968","26,968","2,353","1,558","4,345","4,743","4,034","4,376","3,079","1,626",722,108,24
서울특별시 성동구 마장동(1120054000),"22,758","22,758","1,211","1,621","4,347","3,276","3,024","3,701","3,002","1,738",719,99,20
서울특별시 성동구 사근동(1120055000),"11,841","11,841",424,733,"4,599","1,596","1,136","1,283",964,747,312,36,11
서울특별시 성동구 행당제1동(1120056000),"14,087","14,087",994,990,"2,230","2,271","2,176","2,276","1,691",983,396,67,13
서울특별시 성동구 행당제2동(1120057000),"24,000","24,000","1,803","2,102","3,013","3,700","4,061","3,924","2,819","1,731",726,98,23
서울특별시 성동구 응봉동(1120058000),"15,736","15,736","1,186","1,670","1,759","2,236","2,919","2,498","1,678","1,185",527,69,9
서울특별시 성동구 금호1가동(1120059000),"15,709","15,709","1,296","1,059","1,825","2,751","2,549","2,377","2,127","1,128",519,66,12
서울특별시 성동구 금호2.3가동(1120061500),"23,372","23,372","1,742","1,480","2,907","4,167","3,758","3,716","2,973","1,757",746,100,26
서울특별시 성동구 금호4가동(1120062000),"14,694","14,694","1,381",958,"1,499","2,784","2,573","2,132","1,784","1,066",450,58,9
서울특별시 성동구 옥수동(1120064500),"26,549","26,549","2,564","1,645","2,960","5,062","4,483","3,919","3,231","1,768",752,138,27
서울특별시 성동구 성수1가제1동(1120065000),"16,708","16,708","1,035","1,126","2,572","2,910","2,421","3,105","2,150",950,386,45,8
서울특별시 성동구 성수1가제2동(1120066000),"13,410","13,410",752,903,"2,159","2,452","2,090","2,050","1,691",906,350,42,15
서울특별시 성동구 성수2가제1동(1120067000),"16,546","16,546",824,889,"2,319","2,615","2,314","3,134","2,631","1,249",489,67,15
서울특별시 성동구 성수2가제3동(1120069000),"11,170","11,170",579,539,"2,008","1,967","1,461","1,840","1,525",835,363,44,9
서울특별시 성동구 송정동(1120072000),"10,691","10,691",525,588,"1,709","1,620","1,555","1,966","1,621",754,299,46,8
서울특별시 성동구 용답동(1120079000),"11,787","11,787",416,609,"2,076","1,659","1,739","2,189","1,630","1,013",413,39,4
서울특별시 광진구 (1121500000),"346,067","346,067","19,328","25,774","62,730","55,902","52,331","54,458","42,685","22,415","8,932","1,296",216
서울특별시 광진구 화양동(1121571000),"22,694","22,694",380,718,"9,659","4,404","2,195","2,078","1,709","1,049",413,66,23
서울특별시 광진구 군자동(1121573000),"19,894","19,894",879,"1,027","4,492","3,632","2,629","2,887","2,369","1,361",539,69,10
서울특별시 광진구 중곡제1동(1121574000),"15,761","15,761",759,752,"2,831","2,996","2,178","2,523","2,098","1,172",389,54,9
서울특별시 광진구 중곡제2동(1121575000),"21,916","21,916","1,201","1,397","3,880","3,942","3,007","3,559","2,849","1,497",501,74,9
서울특별시 광진구 중곡제3동(1121576000),"16,626","16,626",759,940,"2,711","2,728","2,322","2,911","2,402","1,286",489,64,14
서울특별시 광진구 중곡제4동(1121577000),"29,275","29,275","1,441","1,924","4,473","4,386","4,137","5,302","4,398","2,304",773,110,27
서울특별시 광진구 능동(1121578000),"11,599","11,599",572,548,"2,397","2,658","1,639","1,416","1,273",745,299,46,6
서울특별시 광진구 광장동(1121581000),"35,388","35,388","3,258","5,511","4,130","3,791","7,689","5,492","3,052","1,483",822,150,10
서울특별시 광진구 자양제1동(1121582000),"22,717","22,717",998,"1,512","4,372","3,763","3,380","3,608","2,872","1,525",592,81,14
서울특별시 광진구 자양제2동(1121583000),"25,567","25,567","1,611","1,873","3,840","3,902","4,034","4,276","3,618","1,702",601,97,13
서울특별시 광진구 자양제3동(1121584000),"28,676","28,676","2,310","2,635","3,949","4,324","4,592","4,680","3,580","1,612",853,128,13
서울특별시 광진구 자양제4동(1121584700),"17,751","17,751",706,870,"2,702","2,624","2,428","3,108","2,989","1,617",608,82,17
서울특별시 광진구 구의제1동(1121585000),"22,036","22,036",841,"1,165","4,826","4,266","3,201","3,180","2,469","1,425",584,63,16
서울특별시 광진구 구의제2동(1121586000),"26,904","26,904","1,760","2,356","3,740","3,848","4,348","4,552","3,500","1,938",744,94,24
서울특별시 광진구 구의제3동(1121587000),"29,263","29,263","1,853","2,546","4,728","4,638","4,552","4,886","3,507","1,699",725,118,11
서울특별시 동대문구 (1123000000),"342,034","342,034","20,553","23,514","56,085","49,944","50,441","53,221","46,567","28,187","11,603","1,603",316
서울특별시 동대문구 용신동(1123053600),"31,235","31,235","1,272","1,421","6,160","5,380","4,224","4,702","4,160","2,598","1,138",154,26
서울특별시 동대문구 제기동(1123054500),"24,929","24,929","1,019","1,380","4,397","3,267","3,111","3,847","3,925","2,630","1,172",154,27
서울특별시 동대문구 전농제1동(1123056000),"30,088","30,088","1,872","1,906","4,643","4,356","4,297","4,925","4,241","2,549","1,106",147,46
서울특별시 동대문구 전농제2동(1123057000),"19,133","19,133","1,247","1,726","2,364","2,286","3,055","3,275","2,724","1,612",758,75,11
서울특별시 동대문구 답십리제1동(1123060000),"29,137","29,137","2,735","1,969","4,028","5,269","4,707","4,312","3,284","1,870",821,110,32
서울특별시 동대문구 답십리제2동(1123061000),"29,157","29,157","1,822","2,003","3,801","4,479","4,186","4,983","4,231","2,496","1,010",124,22
서울특별시 동대문구 장안제1동(1123065000),"38,723","38,723","2,523","2,642","5,286","6,343","6,378","6,060","5,458","2,899",962,145,27
서울특별시 동대문구 장안제2동(1123066000),"32,980","32,980","2,842","2,848","3,886","5,095","5,818","4,962","4,332","2,295",768,116,18
서울특별시 동대문구 청량리동(1123070500),"19,689","19,689",778,"1,085","2,307","2,207","2,518","3,425","3,782","2,403","1,010",146,28
서울특별시 동대문구 회기동(1123071000),"10,473","10,473",451,686,"3,189","1,474","1,318","1,245",989,706,345,58,12
서울특별시 동대문구 휘경제1동(1123072000),"13,532","13,532",782,756,"3,276","2,130","1,685","1,931","1,531",963,405,63,10
서울특별시 동대문구 휘경제2동(1123073000),"24,197","24,197","1,243","2,025","5,278","3,000","3,524","3,528","2,953","1,818",707,109,12
서울특별시 동대문구 이문제1동(1123074000),"18,359","18,359",690,"1,255","4,646","2,166","2,412","2,624","2,201","1,528",700,100,37
서울특별시 동대문구 이문제2동(1123075000),"20,402","20,402","1,277","1,812","2,824","2,492","3,208","3,402","2,756","1,820",701,102,8
서울특별시 중랑구 (1126000000),"394,532","394,532","22,888","26,617","56,045","57,979","57,740","69,436","58,588","31,551","11,850","1,635",203
서울특별시 중랑구 면목제2동(1126052000),"24,791","24,791","1,260","1,606","3,385","3,311","3,687","4,908","3,694","2,066",749,114,11
서울특별시 중랑구 면목제4동(1126054000),"19,250","19,250","1,076","1,208","2,527","2,735","3,009","3,297","2,925","1,845",530,86,12
서울특별시 중랑구 면목제5동(1126055000),"14,634","14,634","1,301",907,"1,784","2,678","2,222","2,470","1,895",995,345,33,4
서울특별시 중랑구 면목본동(1126056500),"34,543","34,543","1,578","1,965","5,388","5,303","5,060","6,333","4,929","2,828","1,011",122,26
서울특별시 중랑구 면목제7동(1126057000),"22,363","22,363","1,188","1,257","3,107","3,413","3,177","3,931","3,562","1,966",656,94,12
